country,hepatitis_B,polio,diphtheria ,under_five_deaths ,life_expectancy ,total_expenditure,population,year,
Afghanistan,65,6,65,83,65,8.16,33736494,2015,
Afghanistan,62,58,62,86,59.9,8.18,327582,2014,
Afghanistan,64,62,64,89,59.9,8.13,31731688,2013,
Afghanistan,67,67,67,93,59.5,8.52,3696958,2012,
Afghanistan,68,68,68,97,59.2,7.87,2978599,2011,
Afghanistan,66,66,66,102,58.8,9.2,2883167,2010,
Afghanistan,63,63,63,106,58.6,9.42,284331,2009,
Afghanistan,64,64,64,110,58.1,8.33,2729431,2008,
Afghanistan,63,63,63,113,57.5,6.73,26616792,2007,
Afghanistan,64,58,58,116,57.3,7.43,2589345,2006,
Afghanistan,66,58,58,118,57.3,8.7,257798,2005,
Afghanistan,67,5,5,120,57,8.79,24118979,2004,
Afghanistan,65,41,41,122,56.7,8.82,2364851,2003,
Afghanistan,64,36,36,122,56.2,7.76,21979923,2002,
Afghanistan,63,35,33,122,55.3,7.8,2966463,2001,
Afghanistan,62,24,24,122,54.8,8.2,293756,2000,
Armenia,94,96,94,1,74.8,4.86,291695,2015,
Armenia,93,95,93,1,74.6,4.48,29622,2014,
Armenia,95,96,95,1,74.4,4.55,289359,2013,
Armenia,95,96,95,1,74.4,4.48,2881922,2012,
Armenia,95,96,95,1,73.9,3.71,2875581,2011,
Armenia,94,96,94,1,73.5,4.56,2877311,2010,
Armenia,93,94,93,1,73.3,4.55,2888584,2009,
Armenia,89,91,89,1,73.2,3.8,29822,2008,
Armenia,85,9,88,1,73.5,4.31,293356,2007,
Armenia,78,87,87,1,72.9,4.58,29585,2006,
Armenia,91,92,9,1,73,5.25,2981259,2005,
Armenia,91,93,91,1,73,5.5,3612,2004,
Armenia,93,96,94,1,72.7,5.56,31786,2003,
Armenia,91,96,94,1,72.6,5.4,333897,2002,
Armenia,69,97,94,1,72.6,5.94,35655,2001,
Armenia,55,96,93,1,72,6.25,369588,2000,
Azerbaijan,96,98,96,6,72.7,5.68,9649341,2015,
Azerbaijan,94,97,94,6,72.5,6.4,953579,2014,
Azerbaijan,93,96,93,6,72.2,5.54,941681,2013,
Azerbaijan,88,92,89,6,71.9,5.37,9295784,2012,
Azerbaijan,84,91,87,6,71.6,5.1,917382,2011,
Azerbaijan,8,85,81,6,71.1,5.33,954332,2010,
Azerbaijan,74,84,81,6,78,5.85,8947243,2009,
Azerbaijan,68,85,81,6,73,4.37,87634,2008,
Azerbaijan,62,81,79,7,73,5.1,85813,2007,
Azerbaijan,52,8,78,7,69.2,6.17,848455,2006,
Azerbaijan,49,79,75,7,68.4,7.86,839185,2005,
Azerbaijan,5,78,77,8,68.4,7.92,8365,2004,
Azerbaijan,51,79,77,8,67.8,6.56,82341,2003,
Azerbaijan,5,8,76,9,67.8,4.47,817195,2002,
Azerbaijan,,77,77,10,67.5,4.48,81112,2001,
Azerbaijan,,75,76,11,66.6,4.67,8486,2000,
Bahrain,98,98,98,0,76.9,3.81,664611,2015,
Bahrain,98,98,98,0,76.8,4.98,697545,2014,
Bahrain,99,99,99,0,76.7,4.69,735146,2013,
Bahrain,99,99,99,0,76.5,4.37,778708,2012,
Bahrain,99,99,99,0,76.1,3.4,829844,2011,
Bahrain,99,99,99,0,76.1,3.64,889164,2010,
Bahrain,98,97,98,0,76,3.79,958418,2009,
Bahrain,97,97,97,0,75.8,3.17,1035919,2008,
Bahrain,97,97,97,0,75.6,3.8,1114641,2007,
Bahrain,98,98,98,0,75.5,3.8,1185076,2006,
Bahrain,98,98,98,0,75.3,3.16,1240860,2005,
Bahrain,98,98,98,0,75.2,3.37,1278151,2004,
Bahrain,98,97,97,0,75,3.74,1299943,2003,
Bahrain,98,98,98,0,74.9,3.89,1315029,2002,
Bahrain,99,99,99,0,74.7,3.8,1336075,2001,
Bahrain,97,97,97,0,74.5,3.51,1371851,2000,
Bangladesh,97,97,97,113,71.8,2.85,1612886,2015,
Bangladesh,97,97,97,121,71.4,2.82,15945279,2014,
Bangladesh,96,96,96,130,71,2.88,157571292,2013,
Bangladesh,94,94,94,139,77,3.8,15572753,2012,
Bangladesh,96,96,96,150,73,3.16,153911916,2011,
Bangladesh,94,94,94,161,69.9,3.6,15214912,2010,
Bangladesh,97,97,97,173,69.5,2.91,1545478,2009,
Bangladesh,96,96,96,186,69.1,2.85,14885814,2008,
Bangladesh,95,96,94,201,68.6,2.8,147139191,2007,
Bangladesh,86,95,94,215,68.2,2.8,1453684,2006,
Bangladesh,45,94,93,231,67.8,2.68,14343111,2005,
Bangladesh,11,88,99,247,67.3,2.62,14137489,2004,
Bangladesh,5,9,87,264,66.8,2.51,139191,2003,
Bangladesh,,83,83,280,66.3,2.59,1366667,2002,
Bangladesh,,85,85,298,65.8,2.47,1341716,2001,
Bangladesh,,83,82,316,65.3,2.33,131581243,2000,
Bhutan,99,98,99,0,69.8,5.35,787386,2015,
Bhutan,99,98,99,1,69.4,3.57,776448,2014,
Bhutan,97,97,97,1,69.1,3.83,764961,2013,
Bhutan,97,97,97,1,68.7,3.7,752967,2012,
Bhutan,95,95,95,1,68.3,4.73,7451,2011,
Bhutan,91,92,91,1,67.9,5.17,727641,2010,
Bhutan,93,93,93,1,67.4,6.3,714458,2009,
Bhutan,96,96,96,1,67,6.58,795,2008,
Bhutan,95,93,95,1,66.5,5.88,686958,2007,
Bhutan,95,96,95,1,65.8,5.27,672228,2006,
Bhutan,95,95,95,1,65,5.28,656639,2005,
Bhutan,89,9,89,1,64.2,4.41,64282,2004,
Bhutan,95,96,95,1,63.3,4.9,623434,2003,
Bhutan,83,89,86,1,62.5,7.75,66399,2002,
Bhutan,89,88,88,1,61.7,5.91,5896,2001,
Bhutan,98,98,92,1,62,6.91,573416,2000,
Brunei Darussalam,99,99,99,0,77.7,2.82,333165,2015,
Brunei Darussalam,99,99,99,0,77.6,2.65,340034,2014,
Brunei Darussalam,98,99,99,0,77.1,2.61,346782,2013,
Brunei Darussalam,99,99,99,0,78.3,2.3,353293,2012,
Brunei Darussalam,93,99,97,0,77.4,2.25,359433,2011,
Brunei Darussalam,96,99,95,0,76.9,2.73,365114,2010,
Brunei Darussalam,96,99,99,0,76.8,2.85,370263,2009,
Brunei Darussalam,96,97,98,0,77.2,2.23,374965,2008,
Brunei Darussalam,97,95,99,0,76,2.32,379421,2007,
Brunei Darussalam,99,94,97,0,76.3,2.24,383906,2006,
Brunei Darussalam,99,93,94,0,76.2,2.62,388646,2005,
Brunei Darussalam,99,92,92,0,76.4,3.1,393688,2004,
Brunei Darussalam,99,99,92,0,76,3.9,398989,2003,
Brunei Darussalam,99,99,94,0,74.8,3.4,404421,2002,
Brunei Darussalam,99,99,97,0,74.7,3.6,409769,2001,
Brunei Darussalam,99,99,99,0,74.4,3.5,414907,2000,
Cambodia,89,87,89,12,68.7,5.74,15517635,2015,
Cambodia,88,87,88,12,68.3,5.68,152779,2014,
Cambodia,83,66,83,13,67.8,5.93,1522692,2013,
Cambodia,86,84,86,14,67.4,6.24,14776866,2012,
Cambodia,88,87,88,15,67,5.64,14537886,2011,
Cambodia,89,88,89,16,66.6,5.95,143874,2010,
Cambodia,92,95,94,17,66.1,6.36,14928,2009,
Cambodia,91,91,91,18,65.6,5.55,138859,2008,
Cambodia,82,82,82,20,65,3.75,13676693,2007,
Cambodia,8,8,8,21,64.1,4.48,13474489,2006,
Cambodia,,82,82,22,62.9,5.84,132721,2005,
Cambodia,,86,85,24,61.5,6.43,1363377,2004,
Cambodia,,69,69,26,63,6.74,12853124,2003,
Cambodia,,54,54,29,59.3,5.95,12634729,2002,
Cambodia,,59,6,33,58.5,5.7,1242473,2001,
Cambodia,,62,59,36,57.7,5.87,12152354,2000,
China,99,99,99,183,76.1,4.92,137122,2015,
China,99,99,99,198,75.8,5.55,136427,2014,
China,99,99,99,216,75.6,5.39,135738,2013,
China,99,99,99,233,75.4,5.26,135695,2012,
China,99,99,99,251,75.2,5.3,134413,2011,
China,99,99,99,268,75,4.89,133775,2010,
China,99,99,99,288,74.9,5.8,133126,2009,
China,95,99,97,308,74.5,4.59,1324655,2008,
China,92,94,93,332,74.4,4.32,1317885,2007,
China,91,94,93,360,74.2,4.52,13112,2006,
China,84,87,87,392,73.9,4.66,13372,2005,
China,79,87,87,427,73.5,4.72,129675,2004,
China,75,87,86,467,73.1,4.82,12884,2003,
China,7,86,86,511,72.7,4.79,1284,2002,
China,65,86,86,558,72.2,4.56,127185,2001,
China,6,86,85,608,71.7,4.6,1262645,2000,
Cyprus,97,97,97,0,85,6.76,116985,2015,
Cyprus,96,99,99,0,83,7.37,115239,2014,
Cyprus,96,99,99,0,81,7.46,1143896,2013,
Cyprus,96,99,99,0,80,7.44,113562,2012,
Cyprus,96,99,99,0,79.7,7.54,1124835,2011,
Cyprus,96,99,99,0,79.5,7.23,111267,2010,
Cyprus,96,99,99,0,79.3,7.4,19876,2009,
Cyprus,93,97,97,0,79.1,6.89,181563,2008,
Cyprus,93,97,97,0,78.9,6.5,163712,2007,
Cyprus,93,97,97,0,78.8,6.28,14559,2006,
Cyprus,88,98,98,0,78.7,6.37,127658,2005,
Cyprus,88,98,98,0,78.6,6.42,1141,2004,
Cyprus,88,98,98,0,78.5,6.83,993563,2003,
Cyprus,88,98,98,0,78.4,6.12,976966,2002,
Cyprus,89,97,97,0,78.2,5.78,96282,2001,
Cyprus,89,97,97,0,78.1,5.77,943286,2000,
Democratic People's Republic of Korea,96,99,96,7,76,,,2015,
Democratic People's Republic of Korea,93,99,93,8,73,,,2014,
Democratic People's Republic of Korea,93,99,93,8,71,,,2013,
Democratic People's Republic of Korea,96,99,96,9,69.8,,,2012,
Democratic People's Republic of Korea,94,99,94,10,69.4,,,2011,
Democratic People's Republic of Korea,93,99,93,10,69,,,2010,
Democratic People's Republic of Korea,93,98,93,11,68.7,,,2009,
Democratic People's Republic of Korea,92,98,92,12,68.6,,,2008,
Democratic People's Republic of Korea,92,99,92,12,68.5,,,2007,
Democratic People's Republic of Korea,96,98,89,12,68.5,,,2006,
Democratic People's Republic of Korea,92,97,79,13,68.5,,,2005,
Democratic People's Republic of Korea,98,99,72,14,68.4,,,2004,
Democratic People's Republic of Korea,27,99,68,15,68.1,,,2003,
Democratic People's Republic of Korea,89,99,64,18,67.6,,,2002,
Democratic People's Republic of Korea,89,98,62,21,66.6,,,2001,
Democratic People's Republic of Korea,89,93,56,25,65.4,,,2000,
Georgia,94,91,94,1,74.4,7.33,37171,2015,
Georgia,91,91,91,1,74.5,7.42,3727,2014,
Georgia,96,94,93,1,74.5,7.25,3776,2013,
Georgia,92,93,92,1,74.2,8.57,3825,2012,
Georgia,89,88,94,1,73.9,9.38,3875,2011,
Georgia,95,88,92,1,73.8,1.5,3926,2010,
Georgia,54,93,88,1,73.2,1.19,3978,2009,
Georgia,89,9,92,1,73.9,8.99,43,2008,
Georgia,94,88,98,1,74.4,8.17,482,2007,
Georgia,84,89,88,1,73.9,8.39,4136,2006,
Georgia,79,82,82,1,73.9,8.6,419,2005,
Georgia,64,66,78,1,72.3,8.53,4245,2004,
Georgia,48,74,75,2,72.7,8.49,431,2003,
Georgia,51,89,84,2,71.7,8.72,4357,2002,
Georgia,61,83,87,2,73,7.82,43864,2001,
Georgia,55,81,8,2,71.8,6.94,44183,2000,
India,87,86,87,1100,68.3,4.36,1395398,2015,
India,79,84,85,1200,68,4.69,1293859294,2014,
India,7,82,83,1300,67.6,4.53,127856227,2013,
India,73,79,82,1400,67.3,4.39,126365852,2012,
India,44,79,82,1500,66.8,4.33,124723629,2011,
India,38,76,79,1600,66.4,4.28,12398691,2010,
India,37,73,74,1700,66,4.38,121427132,2009,
India,29,69,7,1800,65.5,4.34,119714696,2008,
India,6,67,64,1900,65.2,4.23,1179681239,2007,
India,6,66,65,2000,64.8,4.25,1161977719,2006,
India,8,65,65,2000,64.4,4.28,1144118674,2005,
India,6,58,63,2100,64,4.22,1126135777,2004,
India,,57,61,2200,63.7,4.3,11827848,2003,
India,,58,59,2300,63.3,4.4,18987112,2002,
India,,58,59,2400,62.9,4.5,171477855,2001,
India,,57,58,2500,62.5,4.26,1535912,2000,
Indonesia,78,8,78,136,69.1,2.66,258162113,2015,
Indonesia,78,8,78,142,68.9,2.85,255131116,2014,
Indonesia,85,86,85,148,68.7,2.93,25232263,2013,
Indonesia,83,84,83,154,68.5,2.9,248883232,2012,
Indonesia,81,81,81,161,68.3,2.71,24577511,2011,
Indonesia,83,82,81,167,68.1,2.74,242524123,2010,
Indonesia,82,85,78,174,67.9,2.83,23934478,2009,
Indonesia,82,83,77,181,67.7,2.81,236159276,2008,
Indonesia,76,77,73,188,67.5,3.1,232989141,2007,
Indonesia,66,78,72,194,67.3,2.91,22983822,2006,
Indonesia,65,79,72,201,67.2,2.79,22671273,2005,
Indonesia,64,79,71,237,65.3,2.37,223614649,2004,
Indonesia,64,8,71,215,66.9,2.53,22545214,2003,
Indonesia,63,8,7,222,66.7,2.27,2175859,2002,
Indonesia,62,77,76,229,66.5,2.23,2145652,2001,
Indonesia,65,72,75,237,66.3,1.98,21154429,2000,
Iran (Islamic Republic of),98,98,98,21,75.5,6.29,,2015,
Iran (Islamic Republic of),99,99,99,22,75.4,6.89,,2014,
Iran (Islamic Republic of),99,98,98,23,75.3,6.49,,2013,
Iran (Islamic Republic of),98,99,99,24,75.1,6.98,,2012,
Iran (Islamic Republic of),99,99,99,25,74.7,7.12,,2011,
Iran (Islamic Republic of),99,99,99,26,74.1,8.2,,2010,
Iran (Islamic Republic of),99,99,99,27,73.3,7.63,,2009,
Iran (Islamic Republic of),99,99,99,28,72.7,6.28,,2008,
Iran (Islamic Republic of),97,98,99,29,72.4,5.84,,2007,
Iran (Islamic Republic of),98,99,98,30,72.2,5.95,,2006,
Iran (Islamic Republic of),94,95,95,32,72,6.6,,2005,
Iran (Islamic Republic of),95,98,99,33,71.8,5.89,,2004,
Iran (Islamic Republic of),98,99,99,35,75,5.42,,2003,
Iran (Islamic Republic of),99,99,99,37,71.2,5.39,,2002,
Iran (Islamic Republic of),94,95,96,40,78,5.2,,2001,
Iran (Islamic Republic of),99,99,99,43,73,4.47,,2000,
Iraq,56,63,58,38,68.9,4.44,36115649,2015,
Iraq,62,67,64,39,67.9,5.54,3568,2014,
Iraq,66,7,68,39,69.5,5.92,33883145,2013,
Iraq,61,7,69,39,76,5.26,32776571,2012,
Iraq,77,8,79,39,77,3.32,3172753,2011,
Iraq,72,74,74,39,76,3.82,376271,2010,
Iraq,75,78,78,39,74,4.65,29894652,2009,
Iraq,66,71,69,38,69.3,3.93,29111417,2008,
Iraq,56,74,57,38,65.9,3.69,2839433,2007,
Iraq,59,63,59,38,64.7,3,27697912,2006,
Iraq,65,69,65,37,66.8,4.13,278426,2005,
Iraq,62,69,74,37,67.2,5.61,2631669,2004,
Iraq,63,73,75,37,66.5,4.36,25627626,2003,
Iraq,65,76,77,37,74,4.44,24939299,2002,
Iraq,66,8,78,37,72,4.44,24251649,2001,
Iraq,67,83,8,37,70,4.44,23565413,2000,
Palestin,96,95,95,1,82.5,7.48,8381,2015,
Palestin,97,95,95,1,82.2,7.81,82157,2014,
Palestin,97,96,96,1,82.1,7.89,8595,2013,
Palestin,97,94,94,1,81.8,7.73,7915,2012,
Palestin,98,94,94,1,81.8,7.39,77658,2011,
Palestin,97,95,95,1,81.7,7.36,76236,2010,
Palestin,98,96,96,1,81.5,7.46,74856,2009,
Palestin,99,94,94,1,81,7.33,7388,2008,
Palestin,99,95,95,1,84,7.37,7181,2007,
Palestin,96,94,95,1,84,7.38,7537,2006,
Palestin,96,95,93,1,80,7.44,6931,2005,
Palestin,99,95,95,1,81,7.35,689,2004,
Palestin,98,93,93,1,79.7,7.44,66897,2003,
Palestin,98,91,9,1,79.3,7.49,657,2002,
Palestin,96,93,92,1,79.3,7.61,6439,2001,
Palestin,98,93,93,1,78.9,7.13,6289,2000,
Japan,,99,96,3,83.7,,127141,2015,
Japan,,99,96,3,83.5,1.23,127276,2014,
Japan,,99,96,3,83.5,1.25,127445,2013,
Japan,,99,97,3,83.3,1.17,127629,2012,
Japan,,96,97,4,82.5,1.7,127833,2011,
Japan,,98,97,4,83,9.58,1287,2010,
Japan,,99,97,4,83,9.51,12847,2009,
Japan,,98,98,4,82.7,8.6,12863,2008,
Japan,,97,98,4,82.6,8.25,1281,2007,
Japan,,95,98,4,82.4,8.19,127854,2006,
Japan,,95,98,4,82,8.18,127773,2005,
Japan,,97,99,4,82.1,8.3,127761,2004,
Japan,,97,97,5,81.9,8,127718,2003,
Japan,,89,96,5,81.8,7.85,127445,2002,
Japan,,81,95,5,81.5,7.75,127149,2001,
Japan,,98,85,5,81.1,7.53,126843,2000,
Jordan,99,99,99,4,74.1,,915932,2015,
Jordan,98,98,98,4,74,7.45,88936,2014,
Jordan,98,98,98,4,73.9,7.23,8413464,2013,
Jordan,98,98,98,4,73.7,8,7992573,2012,
Jordan,98,98,98,4,73.6,8.39,7574943,2011,
Jordan,98,98,98,4,73.4,8.42,718239,2010,
Jordan,98,98,98,4,73.3,9.54,6821116,2009,
Jordan,97,98,97,4,73.1,8.78,6489822,2008,
Jordan,98,98,98,4,73,8.35,6193191,2007,
Jordan,98,98,98,4,72.8,8.8,5934232,2006,
Jordan,95,95,95,4,72.4,8.88,5714111,2005,
Jordan,95,95,95,4,72.5,9.5,5535595,2004,
Jordan,97,97,97,4,72.3,9.15,5396774,2003,
Jordan,95,95,95,4,72.1,9.68,5287488,2002,
Jordan,97,97,99,4,71.9,9.9,5193482,2001,
Jordan,93,94,91,4,71.7,9.65,51313,2000,
Kazakhstan,98,98,98,5,72,,17544126,2015,
Kazakhstan,95,95,95,5,69.9,4.36,17289224,2014,
Kazakhstan,99,98,98,6,69.5,4.3,1735275,2013,
Kazakhstan,95,98,99,7,69.1,4.32,16791425,2012,
Kazakhstan,99,99,99,7,68.5,4.6,165566,2011,
Kazakhstan,99,98,99,8,67.8,4.42,16321581,2010,
Kazakhstan,99,99,98,8,67.8,4.13,169271,2009,
Kazakhstan,99,99,99,9,66.6,3.65,15674,2008,
Kazakhstan,94,94,93,9,65.3,3.19,15484192,2007,
Kazakhstan,99,99,99,9,65,3.73,153884,2006,
Kazakhstan,94,99,98,9,64.6,4.7,1514729,2005,
Kazakhstan,99,99,82,9,64.7,3.95,1512985,2004,
Kazakhstan,99,99,99,9,64.4,3.7,149918,2003,
Kazakhstan,95,95,95,9,64.7,3.61,14858948,2002,
Kazakhstan,95,95,95,10,64.4,3.47,14858335,2001,
Kazakhstan,99,96,97,10,63.9,4.16,14883626,2000,
Kuwait,99,99,99,1,74.7,,,2015,
Kuwait,96,94,95,1,74.6,3.4,,2014,
Kuwait,99,99,99,1,74.5,2.56,,2013,
Kuwait,98,98,98,1,74.3,2.57,,2012,
Kuwait,99,99,99,1,74.2,2.62,,2011,
Kuwait,99,98,98,1,74,2.76,,2010,
Kuwait,99,99,99,1,73.9,3.87,,2009,
Kuwait,99,99,99,1,73.8,1.93,,2008,
Kuwait,99,99,99,1,73.7,2.13,,2007,
Kuwait,99,99,99,1,73.6,2.25,,2006,
Kuwait,99,99,99,1,73.6,2.38,,2005,
Kuwait,94,98,98,1,73.5,2.76,,2004,
Kuwait,99,99,99,1,73.4,3.23,,2003,
Kuwait,99,99,99,1,73.3,3.56,,2002,
Kuwait,99,99,99,1,73.2,3.61,,2001,
Kuwait,95,94,98,1,73.2,2.51,,2000,
Kyrgyzstan,97,97,97,3,71.1,,,2015,
Kyrgyzstan,96,95,96,4,78,6.48,,2014,
Kyrgyzstan,97,97,97,4,77,6.68,,2013,
Kyrgyzstan,96,94,96,4,69.9,6.97,,2012,
Kyrgyzstan,96,94,96,4,69.4,6.18,,2011,
Kyrgyzstan,96,88,96,4,68.8,6.66,,2010,
Kyrgyzstan,96,96,95,4,68.5,6.79,,2009,
Kyrgyzstan,97,95,95,4,67.6,6.7,,2008,
Kyrgyzstan,94,94,94,4,67.2,6.87,,2007,
Kyrgyzstan,9,93,92,4,66.7,6.73,,2006,
Kyrgyzstan,97,98,98,4,66.9,5.82,,2005,
Kyrgyzstan,99,98,99,4,67.1,5.57,,2004,
Kyrgyzstan,99,98,98,4,66.6,5.43,,2003,
Kyrgyzstan,99,99,98,5,66.7,5.43,,2002,
Kyrgyzstan,57,99,99,5,67.2,4.79,,2001,
Kyrgyzstan,44,99,99,5,66.6,4.68,,2000,
Lebanon,81,75,81,1,74.9,,5851479,2015,
Lebanon,81,75,81,1,74.8,6.39,563279,2014,
Lebanon,81,75,81,1,74.9,6.63,527612,2013,
Lebanon,81,75,81,1,75,6.99,491644,2012,
Lebanon,81,75,81,1,75,7.12,4588368,2011,
Lebanon,81,75,81,1,74.9,7.19,4337141,2010,
Lebanon,81,75,81,1,74.7,7.42,4183156,2009,
Lebanon,81,75,81,1,74.5,8.7,411147,2008,
Lebanon,8,75,8,1,74.4,8.9,486466,2007,
Lebanon,78,75,78,1,74.1,8.83,45735,2006,
Lebanon,77,74,77,1,73.9,8.42,3986852,2005,
Lebanon,75,74,75,1,73.7,8.91,3863267,2004,
Lebanon,74,74,74,1,73.5,9.3,371464,2003,
Lebanon,77,77,77,1,73.2,1.5,3522837,2002,
Lebanon,8,8,8,1,73,1.9,3359859,2001,
Lebanon,83,83,83,1,72.7,1.86,3235366,2000,
